"oid","itm_id","itm_volume","itm_weight","itm_agingspeed","itm_objectafterrot","itm_script","itm_rotsininventory","itm_brightness","itm_worth","itm_buystack","itm_maxstack","itm_name_german","itm_name_english","itm_description_german","itm_description_english","itm_rareness","itm_name","itm_level"
"147805","640","1","30000","255","641","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147806","641","1","30000","255","641","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147808","642","1","30000","255","643","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147809","643","1","30000","255","643","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148076","919","1","30000","255","919","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148843","3181","1","30000","255","3181","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148844","3182","1","30000","255","3182","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148845","3183","1","30000","255","3183","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148868","3208","1","30000","255","3208","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148869","3209","1","30000","255","3209","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147210","442","5000","30000","255","442","item.pillar","f","0","0","1","1","Reiterstatue","riderstatue","","","1","\N","0"
"148870","3210","1","30000","255","3210","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147212","3133","1","30000","255","3133","\N","f","0","0","1","1","Brücke","bridge","","","1","\N","0"
"148871","3211","1","30000","255","3211","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148904","3248","1","30000","255","3248","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148913","3249","1","30000","255","3249","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148914","3250","1","30000","255","3250","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148915","3251","1","30000","255","3251","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148972","3310","1","30000","255","3310","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147219","150","1","2","4","150","\N","f","0","0","1","1000","Tannensetzling","fir tree seedling","","","1","\N","0"
"148973","3311","1","30000","255","3311","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148974","3312","1","30000","255","3312","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"148975","3313","1","30000","255","3313","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149009","3346","1","30000","255","3346","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149010","3347","1","30000","255","3347","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149011","3348","1","30000","255","3348","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149012","3349","1","30000","255","3349","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149026","3363","1","30000","255","3363","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149027","3364","1","30000","255","3364","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149028","3365","1","30000","255","3365","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149029","3366","1","30000","255","3366","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149043","3380","1","30000","255","3380","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149044","3381","1","30000","255","3381","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147233","712","1","30000","255","708","item.doors","f","0","0","1","1","offene Tür","open door","","","1","\N","0"
"147234","66","1","30000","255","66","item.id_66_markerstone","f","0","0","1","1","Markierungsstein","marker stone","","","1","\N","0"
"149045","3382","1","30000","255","3382","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149046","3383","1","30000","255","3383","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149064","3401","1","30000","255","3401","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149065","3402","1","30000","255","3402","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149066","3403","1","30000","255","3403","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"149067","3404","1","30000","255","3404","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147240","165","1","25","4","165","alchemy.item.id_165_blue_bottle","f","0","0","1","1","blauer Trank","blue potion","","","1","\N","0"
"147241","166","1","25","4","166","alchemy.item.id_166_pink_bottle","f","0","0","1","1","violetter Trank","violet potion","","","1","\N","0"
"149087","1039","1","200","4","1039","item.general.metal","f","0","70000","1","1","Doppelklingenranseur","twinblade ranseur","","","1","twinbladeRanseur","80"
"147165","0","1","0","255","0","\N","f","0","0","1","1","nichts","nothing","","","1","\N","0"
"148621","2627","1","200","4","2627","item.general.metal","f","2","98000","1","1","Feuer-Kriegsaxt","fire waraxe","","","1","fireWaraxe","90"
"147363","2636","1","200","4","2636","item.general.metal","f","2","70000","1","1","vergiftete Doppelaxt","poisoned double axe","","","1","poisonedDoubleAxe","80"
"147179","119","5000","30000","255","119","item.id_119_bakingoven","f","0","0","1","1","Backofen","baking oven","","","1","bakingOvenOne","0"
"147180","120","5000","30000","255","120","item.id_119_bakingoven","f","0","0","1","1","Backofen","baking oven","","","1","bakingOvenTwo","0"
"147193","304","5000","30000","255","304","item.id_305_smokingoven","f","2","0","1","1","Räucherhütte","smoke oven","","","1","smokeOvenOne","0"
"101631405","3891","1","30000","255","3891","item.altars","f","0","0","1","1","Altar","altar","","","1","\N","0"
"105903854","3894","1","5","10","3894","item.id_3894_mystical_cracker","f","0","0","1","1000","Geheimnisvolles Knallbonbon","Mystical Cracker","","","2","mysticalCracker","0"
"40704874","3734","1","30000","255","3734","\N","f","0","0","1","1","Kunstvoller Raumteiler","Fancy Room Divider","","","1","\N","0"
"41424813","3741","1","30000","255","3741","\N","f","0","0","1","1","Kunstvoller Raumteiler","Fancy Room Divider","","","1","\N","0"
"147242","167","1","25","4","167","alchemy.item.id_167_yellow_bottle","f","0","0","1","1","gelber Trank","yellow potion","","","1","\N","0"
"147351","39","1","200","4","39","item.general.wood","f","0","3500","1","1","Schädelstab","skull staff","","","1","skullStaff","10"
"147246","173","1","1200","4","173","\N","f","0","0","1","1","totes Schaf","sheep corpse","","","1","\N","0"
"147352","40","1","200","4","40","item.general.wood","f","0","3800","1","1","Priesterstecken","cleric's staff","","","1","clericsStaff","15"
"147353","41","1","100","4","41","\N","f","0","400","1","1000","Glasblock","glass ingot","","","1","glassIngot","0"
"147355","43","1","25","4","43","\N","f","0","400","1","1000","Kerzen","candles","","","1","candles","0"
"149096","45","1","5","4","45","item.gems","f","0","1600","1","1000","Smaragd","emerald","","","1","emerald","40"
"147356","46","1","5","4","46","item.gems","f","0","800","1","1000","Rubin","ruby","","","1","ruby","10"
"147270","660","5000","30000","255","660","item.id_661_lectern","f","0","0","1","1","Lesepult","lectern","","","1","\N","0"
"147271","661","5000","30000","255","661","item.id_661_lectern","f","0","0","1","1","Lesepult","lectern","","","1","\N","0"
"147357","47","1","50","4","47","item.id_47_needle","f","0","2000","1","1","Nadel","needle","","","1","needle","5"
"147274","1146","1","30000","255","1146","\N","f","0","0","1","1","Bücherstapel","pile of books","","","1","\N","0"
"147358","48","1","130","4","48","item.general.cloth","f","0","1100","1","1","Lederhandschuhe","leather gloves","","","1","leatherGloves","20"
"147278","1377","5000","30000","255","1377","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147279","1385","1","30000","255","1385","\N","f","0","0","1","1","Schmutz","dirt","","","1","\N","0"
"147282","1397","5000","30000","255","1397","\N","f","0","0","1","1","Regal","shelf","","","1","\N","0"
"147283","1404","5000","30000","255","1404","\N","f","0","0","1","1","Treppe","stairs","","","1","\N","0"
"147284","105","1","100","7","105","item.books","f","0","0","1","1","Das Buch der Selbsterkenntnis","The Book Of Self-Awareness","","","1","\N","0"
"147285","106","1","100","7","106","item.books","f","0","0","1","1","Buch der Pflanzen","Botany And Forestry","","","1","\N","0"
"147286","107","1","100","7","107","item.books","f","0","0","1","1","dunkelrotes Buch","dark red book","","","1","\N","0"
"147287","108","1","100","7","108","item.books","f","0","0","1","1","rotes Buch","red book","","","1","\N","0"
"147288","109","1","100","7","109","item.books","f","0","0","1","1","Grundlagen der Alchemie","Alchemists Basics","","","1","\N","0"
"147289","110","1","100","7","110","item.books","f","0","0","1","1","Drei maßgebliche Wahrheiten","Three Guiding Truths","","","1","\N","0"
"147290","112","1","100","7","112","item.books","f","0","0","1","1","Färber und Gerber","Dye Works And Tannery","","","1","\N","0"
"147291","113","1","100","7","113","item.books","f","0","0","1","1","Spinner und Weber","Spinning And Weaving","","","1","\N","0"
"147292","115","1","100","7","115","item.books","f","0","0","1","1","grünes Buch","green book","","","1","\N","0"
"147293","116","1","100","7","116","item.books","f","0","0","1","1","graues Buch","grey book","","","1","\N","0"
"147294","128","1","100","7","128","item.books","f","0","0","1","1","Alchemie II","Alchemy II","","","1","\N","0"
"147307","203","5000","30000","255","203","\N","f","0","0","1","1","Palme","palm tree","","","1","\N","0"
"147245","172","1","30000","255","172","item.id_172_anvil","f","0","0","1","1","Amboss","anvil","","","1","anvilOff","0"
"147301","1411","1","30000","255","1411","item.id_339_barrel","f","0","0","1","1","Weinfass","wine barrel","","","1","wineBarrelThree","0"
"147295","130","1","100","7","130","item.books","f","0","0","1","1","Die Kunst des Schmiedens","The Art Of Smithery","","","1","\N","0"
"147276","1163","1","30000","255","1163","item.altars","f","0","0","1","1","Ushara Altar","ushara altar","","","1","\N","0"
"147277","1233","1","30000","255","1233","item.id_1226_dyeingbarrel","f","0","0","1","1","Färbefass","dyeing barrel","","","1","greenDyeingBarrel","0"
"147349","37","5000","30000","255","37","item.id_37_window","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147350","38","5000","30000","255","38","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147313","210","1","30000","255","210","\N","f","0","0","1","1","Hirschkopf","deer head","","","1","\N","0"
"147314","211","1","30000","255","211","\N","f","0","0","1","1","Pferdekopf","horse head","","","1","\N","0"
"147315","214","1","30000","255","214","item.general.wood","f","0","0","1","1","Stuhl","chair","","","1","\N","0"
"147316","215","1","30000","255","215","item.general.wood","f","0","0","1","1","Stuhl","chair","","","1","\N","0"
"147317","216","1","30000","255","216","item.general.wood","f","0","0","1","1","Sessel","armchair","","","1","\N","0"
"147318","217","1","30000","255","217","item.general.wood","f","0","0","1","1","Sessel","armchair","","","1","\N","0"
"147319","218","1","30000","255","218","item.general.wood","f","0","0","1","1","Sessel","armchair","","","1","\N","0"
"147320","219","1","30000","255","219","item.general.wood","f","0","0","1","1","Sessel","armchair","","","1","\N","0"
"147321","221","1","30000","255","221","\N","f","0","0","1","1","goldener Löwenkopf","golden lion head","","","1","\N","0"
"147334","4","1","400","4","4","item.general.metal","f","0","2500","1","1","Plattenpanzer","plate armour","","","1","plateArmour","0"
"147341","23","1","100","4","23","item.id_23_smithinghammer","f","0","2000","1","1","Hammer","hammer","Ein Hammer mit einem gehärteten Kopf zum Schmieden von Metallen. Dieses Werkzeug wird von Schmieden an einem Amboss verwendet.","A hammer with a hardened head for forging metals. This tool is used by blacksmiths at an anvil.","1","hammer","5"
"147342","24","1","100","4","24","item.id_24_shovel","f","0","2000","1","1","Schaufel","shovel","Eine einfache Schaufel zum Graben. Meist in Lehm- oder Sandgruben verwendet, hat solch eine Schaufel aber auch schon so manchen Schatz ausgegraben.","A simple shovel for digging. Usually used at clay or sand pits, such shovels have also revealed one or another treasure.","1","shovel","5"
"147335","6","1","50","4","6","item.id_6_scissors","f","0","2000","1","1","Schere","scissors","","","1","scissors","5"
"106655276","3895","1","30000","255","3895","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"106655277","3896","1","30000","255","3896","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"147328","228","1","0","255","228","\N","f","0","0","1","1","belegt","occupied","","","1","\N","0"
"106655278","3897","1","30000","255","3897","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"106655282","3899","1","30000","255","3899","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"106655283","3900","1","30000","255","3900","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"106655284","3901","1","30000","255","3901","\N","f","0","0","1","1","Efeu Verzierter Raumteiler","Ornate Ivy Room Divider","","","1","\N","0"
"106655285","3902","1","30000","255","3902","\N","f","0","0","1","1","Efeu Verzierter Raumteiler","Ornate Ivy Room Divider","","","1","\N","0"
"106655291","3908","1","30000","255","3908","\N","f","0","0","1","1","Runenverzierte Raumteiler","Runic Room Dividers","","","1","\N","0"
"106655292","3909","1","30000","255","3909","\N","f","0","0","1","1","Runenverzierte Raumteiler","Runic Room Dividers","","","1","\N","0"
"106655294","3911","1","30000","255","3911","\N","f","0","0","1","1","Runenverzierte Raumteiler","Runic Room Dividers","","","1","\N","0"
"147337","10","1","30000","2","10","item.teleportgate","f","2","0","1","1","portal","portal","","","1","\N","0"
"147336","9","1","100","4","9","item.id_9_saw","f","0","2000","1","1","Säge","saw","","","1","saw","5"
"147339","15","1","5","4","15","item.food","f","0","20","1","1000","Apfel","apple","","","1","apple","0"
"113074896","3913","5000","30000","255","3913","\N","f","0","0","1","1","Holzsäule","wooden column","","","1","woodenColumn","0"
"113438680","3916","1","50","4","3916","item.food","f","0","200","1","1000","Räucherlachs","smoked salmon","","","1","\N","0"
"147345","28","1","30000","255","28","\N","f","2","0","1","1","Leiter","ladder","","","1","\N","0"
"147346","33","5000","30000","255","33","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147348","35","1","30000","255","35","\N","f","0","0","1","1","Leiter","ladder","","","1","\N","0"
"147629","455","1","50","4","455","item.food","f","0","200","1","1000","geräucherte Forellen","smoked trout","","","1","smokedFish","0"
"113439130","3914","1","50","4","3914","item.food","f","0","200","1","1000","Geräucherte Stachelmakrele","smoked horse mackerel","","","1","smokedHorsemackerel","0"
"113438681","3915","1","50","4","3915","item.food","f","0","200","1","1000","Geräucherter Rotbarsch
","smoked rose fish","","","1","smokedRosefish","0"
"147354","42","1","30000","255","42","\N","f","0","0","1","1","nichts","nothing","","","1","\N","0"
"114536740","3892","1","30000","255","3892","item.harvest","f","0","0","1","1","Brombeerstrauch","Blackberry bush","","","1","\N","0"
"147331","21","1","100","4","21","\N","f","0","100","1","1000","Kohle","coal","","","1","coal","0"
"147343","25","1","100","4","25","item.general.metal","f","0","2600","1","1","Säbel","sabre","","","1","sabre","10"
"147378","3078","1","0","4","3078","\N","f","0","0","1","1000","Gifttaler","poison coins","","","1","\N","0"
"147338","13","1","30000","2","172","\N","f","2","0","1","1","Amboss","anvil","","","1","anvilOn","0"
"147440","248","5000","30000","10","248","\N","f","0","0","1","1","Getreide","grain","","","1","\N","0"
"106655281","3898","1","30000","255","3898","\N","f","0","0","1","1","Geblümter Raumteiler","Flowery Room Divider","","","1","\N","0"
"106655286","3903","1","30000","255","3903","\N","f","0","0","1","1","Efeu Verzierter Raumteiler","Ornate Ivy Room Divider","","","1","\N","0"
"106655293","3910","1","30000","255","3910","\N","f","0","0","1","1","Runenverzierte Raumteiler","Runic Room Dividers","","","1","\N","0"
"106655295","3912","1","30000","255","3912","\N","f","0","0","1","1","Runenverzierte Raumteiler","Runic Room Dividers","","","1","\N","0"
"114536742","3893","1","30000","4","3892","item.harvest","f","0","0","1","1","abgeernteter Brombeerstrauch","empty blackberry bush","","","1","\N","0"
"147388","59","1","25","4","59","alchemy.item.id_59_red_bottle","f","0","0","1","1","roter Trank","red potion","","","1","\N","0"
"147389","60","1","30000","255","60","\N","f","0","0","1","1","Plumpsklo","toilet","","","1","\N","0"
"147390","61","1","0","4","61","item.id_61_goldcoins","f","0","10000","1","30000","Goldstücke","gold coins","","","1","\N","0"
"147379","17","1","150","4","17","item.general.wood","f","0","2600","1","1","Holzschild","wooden shield","","","1","woodenShield","10"
"147380","18","1","150","4","18","item.general.metal","f","0","3300","1","1","leichter Schild","light shield","","","1","lightShield","20"
"147381","19","1","150","4","19","item.general.metal","f","0","8700","1","1","Metallschild","metal shield","","","1","metalShield","40"
"147401","86","1","30000","255","86","item.doors","f","0","0","1","1","offene Tür","open door","","","1","\N","0"
"147402","87","1","30000","255","87","item.doors","f","0","0","1","1","offene Tür","open door","","","1","\N","0"
"147408","93","1","20","4","93","gm.items.id_93_medal","f","0","0","1","1","Medallie","medal","","","1","\N","0"
"147412","99","1","50","4","99","gm.items.id_99_lockpicks","f","0","0","1","1","Dietriche","lockpicks","","","1","\N","0"
"147421","125","1","30000","8","11","\N","f","0","0","1","1","Baumstumpf","tree trunk","","","1","\N","0"
"147425","232","1","30000","255","232","item.rock","f","0","0","1","1","Fels","rock","","","1","\N","0"
"147426","233","1","30000","10","232","\N","f","0","0","1","1","Fels","rock","","","1","\N","0"
"147430","238","5000","30000","255","238","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147431","239","5000","30000","255","239","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147432","240","5000","30000","255","240","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147433","241","5000","30000","255","241","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147434","242","5000","30000","255","238","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147435","243","5000","30000","255","239","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147436","244","5000","30000","255","240","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147437","245","5000","30000","255","241","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147438","246","1","30000","2","247","\N","f","0","0","1","1","Getreide","grain","","","1","\N","0"
"147439","247","5000","30000","2","248","\N","f","0","0","1","1","Getreide","grain","","","1","\N","0"
"147442","75","1","30000","255","75","item.vase","f","0","0","1","1","Vase","vase","","","1","\N","0"
"147452","260","5000","30000","255","260","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147453","261","5000","30000","255","261","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147413","102","1","30000","255","102","item.id_102_tailoringtable","f","0","0","1","1","Schneidertisch","tailoring table","","","1","tailoringTableOne","0"
"147414","103","1","30000","255","103","item.id_102_tailoringtable","f","0","0","1","1","Schneidertisch","tailoring table","","","1","tailoringTableTwo","0"
"147416","114","1","100","7","114","item.books","f","0","0","1","1","Bäcker, Winzer und Brauer","Baker, Winegrower and Brewer","","","1","\N","0"
"147415","111","1","100","7","111","item.books","f","0","0","1","1","Wege zur Zauberei und Magie","The Path To Magic","","","1","\N","0"
"147417","117","1","100","7","117","item.books","f","0","0","1","1","Runen-Lehrbuch","Book Of Runes","","","1","\N","0"
"147454","262","5000","30000","255","262","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147455","263","5000","30000","255","263","item.general.wood","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147456","265","1","30000","255","265","item.paintings","f","0","0","1","1","Gemälde","painting","","","1","\N","0"
"147457","267","5000","30000","255","267","item.id_266_bookshelf","f","0","0","1","1","Bücherregal","bookshelf","","","1","\N","0"
"147459","272","5000","30000","255","272","item.pillar","f","0","0","1","1","Statue","statue","","","1","\N","0"
"147460","273","1","30000","255","273","\N","f","0","0","1","1","Blume","flower","","","1","\N","0"
"147461","274","1","30000","255","274","\N","f","0","0","1","1","Farn","fern","","","1","\N","0"
"147462","275","1","30000","255","275","\N","f","0","0","1","1","Topfpflanze","pot flower","","","1","\N","0"
"147463","276","1","30000","255","276","\N","f","0","0","1","1","Topfpflanze","pot flower","","","1","\N","0"
"147359","49","1","100","4","49","item.food","f","0","1500","1","1000","Kartoffelbrot","potato bread","","","1","potatoBread","20"
"147330","50","1","50","4","50","\N","f","0","100","1","1000","Garn","thread","","","1","thread","0"
"147383","51","1","100","4","51","item.id_51_emptybucket","f","0","2000","1","1000","Eimer","bucket","","","1","bucket","5"
"147384","54","1","100","4","54","\N","f","0","200","1","1000","grüner Stoff","green cloth","","","1","greenCloth","0"
"147385","55","1","100","4","55","item.general.cloth","f","0","2600","1","1","grüne Robe","green robe","","","1","greenRobe","20"
"147386","56","1","50","4","56","\N","f","0","100","1","1000","Ast","bough","","","1","bough","0"
"147473","286","5000","30000","255","286","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147496","318","5000","30000","255","318","\N","f","0","0","1","1","Fenster","window","","","1","\N","0"
"147474","287","5000","30000","255","287","\N","f","0","0","1","1","Höhlenwand","cave wall","","","1","\N","0"
"147475","288","1","30000","2","289","\N","f","0","0","1","1000","Kohl","cabbage","","","1","\N","0"
"106655287","3904","1","30000","255","3904","\N","f","0","0","1","1","Efeu Verzierter Raumteiler","Ornate Ivy Room Divider","","","1","\N","0"
"147481","295","1","30000","255","291","\N","f","0","0","1","1","goldener Löwenkopf","golden lion head","","","1","\N","0"
"147484","301","1","30000","255","301","\N","f","0","0","1","1","Hecke","hedge","","","1","\N","0"
"149093","57","1","200","4","57","item.general.wood","f","0","6800","1","1","einfacher Magierstab","simple mage's staff","","","1","simpleMagesStaff","30"
"147490","308","5000","30000","255","308","item.tree","f","0","0","1","1","Tanne","fir tree","","","1","\N","0"
"147491","309","1","30000","8","308","\N","f","0","0","1","1","Baumstumpf","tree trunk","","","1","\N","0"
"147497","319","1","30000","255","319","\N","f","0","0","1","1","Treppe","stairs","","","1","\N","0"
"147498","320","1","30000","255","320","\N","f","0","0","1","1","Tisch","table","","","1","\N","0"
"147499","321","1","30000","255","321","item.id_321_depot","f","0","0","1","1","Depot","depot","","","1","\N","0"
"147504","327","1","25","4","327","alchemy.item.id_327_blue_bottle","f","0","0","1","1","dunkelblauer Trank","dark blue potion","","","1","\N","0"
"147505","328","1","25","4","328","\N","f","0","0","1","1","orangener Trank","orange potion","","","1","\N","0"
"147506","329","1","25","4","329","alchemy.item.id_329_black_bottle","f","0","0","1","1","schwarzer Trank","black potion","","","1","\N","0"
"147508","331","1","25","4","331","alchemy.item.id_331_green_bottle","f","0","0","1","1","grüner Trank","green potion","","","1","\N","0"
"147511","269","1","30000","255","269","\N","f","4","0","1","1","Kamin","chimney","","","1","\N","0"
"147513","292","1","30000","255","292","item.vase","f","0","0","1","1","Vase","vase","","","1","\N","0"
"147516","299","5000","30000","4","300","item.harvest","f","0","0","1","1","abgeernteter Kirschbaum","empty cherry tree","","","1","\N","0"
"147519","337","1","30000","255","337","item.grave","f","0","0","1","1","Sarg","coffin","","","1","\N","0"
"147520","338","1","30000","255","338","\N","f","0","0","1","1","Schilf","reed","","","1","\N","0"
"147522","340","5000","30000","255","340","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147523","341","1","30000","255","341","\N","f","0","0","1","1","Zinnen","battlements","","","1","\N","0"
"147524","342","5000","30000","255","342","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147525","343","1","30000","255","343","\N","f","0","0","1","1","Zinnen","battlements","","","1","\N","0"
"147526","344","1","30000","255","344","\N","f","0","0","1","1","Zinnen","battlements","","","1","\N","0"
"147521","339","5000","30000","255","339","item.id_339_barrel","f","0","0","1","1","Weinfass","wine barrel","","","1","wineBarrelOne","0"
"147487","305","5000","30000","255","304","item.id_305_smokingoven","f","2","0","1","1","Räucherhütte","smoke oven","","","1","smokeOvenTwo","0"
"147494","313","1","30000","255","313","item.id_313_glassmeltoven","f","2","0","1","1","Glasschmelzofen","glass melting oven","","","1","glassMeltingOven","0"
"147514","317","1","30000","255","317","item.doors","f","0","0","1","1","offene Tür","open door","","","1","\N","0"
"147476","289","1","30000","2","3890","\N","f","0","0","1","1000","Kohl","cabbage","","","1","\N","0"
"147527","345","5000","30000","255","345","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147528","346","5000","30000","255","346","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147529","347","5000","30000","255","347","\N","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147530","348","5000","30000","255","348","item.id_348_wallcorner","f","0","0","1","1","Mauer","wall","","","1","\N","0"
"147532","350","5000","30000","255","350","\N","f","0","0","1","1","Turm","tower","","","1","\N","0"
"147533","351","5000","30000","255","351","\N","f","0","0","1","1","Turm","tower","","","1","\N","0"
"147534","352","5000","30000","255","352","\N","f","0","0","1","1","Turm","tower","","","1","\N","0"
"147392","64","1","2","4","64","\N","f","0","20","1","1000","Pfeil","arrow","","","1","arrow","5"
"106655288","3905","1","30000","255","3905","\N","f","0","0","1","1","Efeu Verzierter Raumteiler","Ornate Ivy Room Divider","","","1","\N","0"
"147541","359","1","30000","8","359","item.id_359_firefield","f","4","0","1","1","Flamme","flame","","","1","\N","0"
"147542","360","1","30000","8","360","item.id_360_icefield","f","4","0","1","1","Eisflamme","ice flame","","","1","\N","0"
"147543","361","1","30000","255","361","item.altars","f","0","0","1","1","Altar","altar","","","1","\N","0"
"149101","62","1","20","4","62","item.general.jewel","f","0","20000","1","1","goldenes Smaragdamulett","golden emerald amulet","","","1","goldenEmeraldAmulet","70"
"147391","63","1","50","4","63","\N","f","0","100","1","1000","Eingeweide","entrails","","","1","entrails","0"
