"oid","arm_itemid","arm_bodyparts","arm_puncture","arm_stroke","arm_thrust","arm_magicdisturbance","arm_absorb","arm_stiffness","arm_type"
"146842","364","4","62","41","82","0","0","0","2"
"146849","365","4","35","23","46","0","0","0","2"
"146847","366","64","35","23","46","0","0","0","2"
"146852","367","64","14","10","19","0","0","0","2"
"146823","369","128","14","10","19","0","0","0","2"
"146853","384","8","14","10","19","0","0","0","2"
"146843","526","8","35","23","46","0","0","0","2"
"146838","527","8","62","41","82","0","0","0","2"
"146858","528","8","28","55","41","0","0","0","3"
"146890","529","8","51","38","25","0","0","0","4"
"146885","530","8","73","55","37","0","0","0","4"
"146880","531","8","82","62","41","0","0","0","4"
"146834","648","1","68","46","91","0","0","0","2"
"146867","696","4","30","60","45","0","0","0","3"
"146840","697","128","55","37","73","0","0","0","2"
"146835","698","128","68","46","91","0","0","0","2"
"146859","699","128","46","91","68","0","0","0","3"
"146882","770","128","91","68","46","0","0","0","4"
"146887","771","128","64","48","32","0","0","0","4"
"4281735","1505","128","62","41","82","0","0","0","2"
"4281799","1506","128","75","50","100","0","0","0","2"
"4281739","1507","128","5","10","8","0","0","0","3"
"4281740","1508","128","10","19","14","0","0","0","3"
"4281759","1509","128","28","55","41","0","0","0","3"
"4281761","1510","128","37","73","55","0","0","0","3"
"4281760","1511","128","41","82","62","0","0","0","3"
"4281736","1512","128","50","100","75","0","0","0","3"
"4281717","1513","128","19","14","10","0","0","0","4"
"4281716","1514","128","37","28","19","0","0","0","4"
"4281783","1515","128","46","35","23","0","0","0","4"
"4281785","1516","128","55","41","28","0","0","0","4"
"4281784","1517","128","73","55","37","0","0","0","4"
"4281737","1518","128","82","62","41","0","0","0","4"
"4281807","1519","128","100","75","50","0","0","0","4"
"4281738","1520","128","5","10","8","0","0","0","4"
"146860","2111","64","46","91","68","0","0","0","3"
"146865","2112","64","37","73","55","0","0","0","3"
"146836","2113","64","68","46","91","0","0","0","2"
"146841","2114","64","55","37","73","0","0","0","2"
"146881","2116","64","46","35","23","0","0","0","4"
"146898","2117","64","19","14","10","0","0","0","4"
"146891","2172","64","73","55","37","0","0","0","4"
"146870","2193","64","23","46","35","0","0","0","3"
"146874","2194","64","10","19","14","0","0","0","3"
"146857","2286","1","50","100","75","0","0","0","3"
"146884","2287","1","82","62","41","0","0","0","4"
"146845","2290","1","46","35","23","0","0","0","4"
"146862","2291","1","46","91","68","0","0","0","3"
"146855","2295","8","5","5","5","1","0","0","0"
"146866","2302","1","37","73","55","0","0","0","3"
"146833","2303","1","87","65","43","0","0","0","4"
"146863","2357","4","55","37","73","0","0","0","2"
"146873","2359","4","10","19","14","0","0","0","3"
"146871","2360","4","14","28","21","0","0","0","3"
"146878","2363","4","100","75","50","0","0","0","4"
"4281808","1415","1","5","5","5","2","0","0","0"
"4281706","1416","1","14","10","19","0","0","0","2"
"4281802","1417","1","28","19","37","0","0","0","2"
"4281806","1418","1","35","23","46","0","0","0","2"
"4281803","1419","1","41","28","55","0","0","0","2"
"4281705","1420","1","48","32","64","0","0","0","2"
"4281805","1421","1","55","37","73","0","0","0","2"
"4281804","1422","1","62","41","82","0","0","0","2"
"4281801","1423","1","68","46","91","0","0","0","2"
"4281800","1424","1","75","50","100","0","0","0","2"
"4281776","1425","1","14","28","21","0","0","0","3"
"4281778","1426","1","23","46","35","0","0","0","3"
"4281777","1427","1","32","64","48","0","0","0","3"
"4281775","1428","1","41","82","62","0","0","0","3"
"4281713","1429","1","19","14","10","0","0","0","4"
"4281712","1430","1","37","28","19","0","0","0","4"
"4281711","1431","1","64","48","32","0","0","0","4"
"4281755","1432","1","73","55","37","0","0","0","4"
"4281718","1433","4","8","5","10","0","0","0","2"
"4281758","1434","4","21","14","28","0","0","0","2"
"4281719","1435","4","41","28","55","0","0","0","2"
"4281720","1436","4","48","32","64","0","0","0","2"
"4281774","1437","4","75","50","100","0","0","0","2"
"4281762","1438","4","28","55","41","0","0","0","3"
"4281764","1439","4","32","64","48","0","0","0","3"
"4281763","1440","4","41","82","62","0","0","0","3"
"4281704","1441","4","19","14","10","0","0","0","4"
"146897","2364","4","28","21","14","0","0","0","4"
"146861","2365","4","46","91","68","0","0","0","3"
"146886","2367","4","82","62","41","0","0","0","4"
"146888","2369","4","64","48","32","0","0","0","4"
"146785","2377","16","0","0","0","13","0","0","0"
"146786","2378","16","0","0","0","8","0","0","0"
"146787","2380","16","0","0","0","18","0","0","0"
"146788","2384","16","0","0","0","9","0","0","0"
"146864","2389","4","37","73","55","0","0","0","3"
"146892","2390","4","69","51","34","0","0","0","4"
"146883","2393","4","91","68","46","0","0","0","4"
"146893","2395","4","51","38","25","0","0","0","4"
"146844","2399","4","51","34","69","0","0","0","2"
"146856","2400","4","50","100","75","0","0","0","3"
"146704","2402","4","87","65","43","0","0","0","4"
"146869","2403","4","23","46","35","0","0","0","3"
"146850","2407","4","28","19","37","0","0","0","2"
"146789","2416","16","0","0","0","16","0","0","0"
"146790","2418","16","0","0","0","4","0","0","0"
"146791","2419","16","0","0","0","12","0","0","0"
"146792","2420","16","0","0","0","10","0","0","0"
"146801","2421","16","0","0","0","5","0","0","0"
"146872","2441","1","28","55","41","0","0","0","3"
"146705","2444","1","19","37","28","0","0","0","3"
"146824","2559","32","0","0","0","21","0","0","5"
"146794","3526","2","0","0","0","1","0","0","5"
"146706","3527","32","0","0","0","1","0","0","5"
"146815","3528","2","0","0","0","2","0","0","5"
"146771","3529","32","0","0","0","2","0","0","5"
"146800","3530","2","0","0","0","19","0","0","5"
"146769","3531","32","0","0","0","19","0","0","5"
"146821","3532","2","0","0","0","20","0","0","5"
"146777","3533","32","0","0","0","20","0","0","5"
"146901","3534","2","0","0","0","21","0","0","5"
"146822","3535","2","0","0","0","0","0","0","5"
"146796","3536","2","0","0","0","7","0","0","5"
"146709","3537","32","0","0","0","7","0","0","5"
"146817","3538","2","0","0","0","8","0","0","5"
"146795","3539","2","0","0","0","4","0","0","5"
"146708","3540","32","0","0","0","4","0","0","5"
"146816","3541","2","0","0","0","5","0","0","5"
"146766","3542","32","0","0","0","10","0","0","5"
"146818","3543","2","0","0","0","11","0","0","5"
"146774","3544","32","0","0","0","11","0","0","5"
"146775","3545","32","0","0","0","14","0","0","5"
"146798","3546","2","0","0","0","13","0","0","5"
"146767","3547","32","0","0","0","13","0","0","5"
"146819","3548","2","0","0","0","14","0","0","5"
"146799","3549","2","0","0","0","16","0","0","5"
"146768","3550","32","0","0","0","16","0","0","5"
"146820","3551","2","0","0","0","17","0","0","5"
"146776","3552","32","0","0","0","17","0","0","5"
"146707","3553","32","0","0","0","0","0","0","5"
"146814","3554","2","0","0","0","0","0","0","5"
"146770","3555","32","0","0","0","0","0","0","5"
"146902","3556","1","5","5","5","9","0","0","0"
"146903","3557","1","5","5","5","9","0","0","0"
"146793","3558","2","0","0","0","0","0","0","5"
"146797","3559","2","0","0","0","10","0","0","5"
"146772","3560","32","0","0","0","5","0","0","5"
"146773","3561","32","0","0","0","8","0","0","5"
"4295453","3708","1","5","5","5","12","0","0","0"
"70796520","3868","1","5","5","5","11","0","0","0"
"146763","222","2","0","0","0","0","0","0","5"
"146765","225","1","5","5","5","8","0","0","0"
"146754","334","2","0","0","0","21","0","0","5"
"146715","357","1","5","5","5","11","0","0","0"
"146716","358","1","5","5","5","10","0","0","0"
"146781","368","16","0","0","0","15","0","0","0"
"146717","370","1","5","5","5","12","0","0","0"
"146718","371","1","5","5","5","13","0","0","0"
"146723","385","4","5","5","5","8","0","0","0"
"146724","457","4","5","5","5","3","0","0","0"
"146725","458","4","5","5","5","6","0","0","0"
"146804","459","64","5","5","5","5","0","0","0"
"146805","460","64","5","5","5","7","0","0","0"
"146806","461","64","5","5","5","9","0","0","0"
"146764","465","1","5","5","5","7","0","0","0"
"146782","547","16","0","0","0","11","0","0","0"
"146783","548","16","0","0","0","19","0","0","0"
"146784","558","16","0","0","0","20","0","0","0"
"146726","800","4","5","5","5","8","0","0","0"
"146727","801","4","5","5","5","8","0","0","0"
"146728","802","4","5","5","5","1","0","0","0"
"146729","803","4","5","5","5","3","0","0","0"
"4281782","1473","8","46","35","23","0","0","0","4"
"4281781","1474","8","55","41","28","0","0","0","4"
"4281733","1475","8","64","48","32","0","0","0","4"
"4281779","1476","8","91","68","46","0","0","0","4"
"4281798","1477","8","100","75","50","0","0","0","4"
"4281724","1478","64","8","5","10","0","0","0","2"
"4281723","1479","64","21","14","28","0","0","0","2"
"4281722","1480","64","28","19","37","0","0","0","2"
"4281721","1481","64","41","28","55","0","0","0","2"
"4281744","1482","64","48","32","64","0","0","0","2"
"4281743","1483","64","62","41","82","0","0","0","2"
"4281766","1484","64","75","50","100","0","0","0","2"
"4281754","1485","64","5","10","8","0","0","0","3"
"4281753","1486","64","14","28","21","0","0","0","3"
"4281752","1487","64","19","37","28","0","0","0","3"
"4281751","1488","64","28","55","41","0","0","0","3"
"4281742","1489","64","32","64","48","0","0","0","3"
"4281741","1490","64","41","82","62","0","0","0","3"
